Date,NIFTY,GOLD,Ratio,Up,Dn,Signal,Target,RetN,RetG,Held,StratRet,StratEq,NiftyEq,GoldEq,BalEq
2025-11-13,292.3900146484375,105.37000274658205,2.774888554873099,3.026642061001754,2.6840256386045245,,NIFTY,-0.0011273113244381072,0.026097967099620867,NIFTY,-0.0011273113244381072,217341.49358292806,180009.86753232437,249691.94512223642,215840.94778626782
2025-11-14,292.8299865722656,103.80999755859376,2.8208264469612647,3.026642061001754,2.6840256386045245,,NIFTY,0.00150474332838324,-0.014805021802458684,NIFTY,0.00150474332838324,217668.53674537782,180280.7361795368,245995.2504308034,214405.57543043495
2025-11-17,293.9700012207031,101.94000244140624,2.88375509299868,3.026642061001754,2.6840256386045245,,NIFTY,0.0038930939477270776,-0.018013632223929488,NIFTY,0.0038930939477270776,218515.94080839184,180982.58602244913,241563.98246070946,212891.8143631866
2025-11-18,292.9700012207031,100.91000366210938,2.9032800573637303,3.026642061001754,2.6840256386045245,,NIFTY,-0.0034017076431184234,-0.01010397051823586,NIFTY,-0.0034017076431184234,217772.61346240068,180366.93617630523,239123.22710365884,211454.1901991986
2025-11-19,294.3699951171875,102.2300033569336,2.8794872879872826,3.026642061001754,2.6840256386045245,,NIFTY,0.004778625424620486,0.013080959735609188,NIFTY,0.004778625424620486,218813.26720987816,181228.8422032782,242251.18840925072,213342.4322578736
2025-11-20,295.6400146484375,101.5500030517578,2.91127529063447,3.026642061001754,2.7615667364469796,,NIFTY,0.0043143647529171325,-0.006651670574651103,NIFTY,0.0043143647529171325,219757.3074573991,182010.72953229203,240639.81330763467,213093.10900340398
2025-11-21,294.32000732421875,102.0,2.8854902678844976,3.026642061001754,2.7615667364469796,,NIFTY,-0.004464914283637933,0.004431284438394911,NIFTY,-0.004464914283637933,218776.10991639874,181198.06722622793,241706.15676760304,213089.5258592649
2025-11-24,293.29998779296875,102.2300033569336,2.869020621753468,3.026642061001754,2.774888554873099,,NIFTY,-0.0034656819307780085,0.0022549348718978734,NIFTY,-0.0034656819307780085,218017.90150537554,180570.0923587501,242251.18840925072,212960.52710090877
2025-11-25,292.67999267578125,103.45999908447266,2.828919343376515,3.026642061001754,2.774888554873099,,NIFTY,-0.0021138600170182986,0.012031651053013848,NIFTY,-0.0021138600170182986,217557.04218038908,180188.39246024363,245165.87017536873,214016.57610425993
2025-11-26,296.010009765625,104.18000030517578,2.8413323948792395,3.026642061001754,2.774888554873099,,NIFTY,0.011377672451743592,0.00695922314976305,NIFTY,0.011377672451743592,220032.33494588773,182238.5169692625,246872.03417462498,215978.77591076778
2025-11-27,296.4200134277344,104.11000061035156,2.8471809786759485,2.9464733265825207,2.774888554873099,,NIFTY,0.0013851006674876487,-0.0006719110637278813,NIFTY,0.0013851006674876487,220337.10187989016,182490.93566075858,246706.15812353804,216055.79281957392
2025-11-28,296.489990234375,104.62000274658205,2.8339703923785393,2.9351924726777283,2.774888554873099,,NIFTY,0.00023607315117302186,0.0048986853639474415,NIFTY,0.00023607315117302186,220389.1175538513,182534.01687100052,247914.69396953355,216610.48998053468
2025-12-01,296.1000061035156,106.72000122070312,2.7745502503430797,2.9120439501915323,2.774888554873099,GOLD,GOLD,-0.0013153365837109687,0.020072628742018317,NIFTY,-0.0013153365837109687,220099.23168488097,182293.92320083838,252890.9935812751,218642.00310309418
2025-12-02,294.6600036621094,105.62999725341795,2.7895485309460692,2.9120439501915323,2.7745502503430797,,GOLD,-0.004863230029461207,-0.010213680236293987,GOLD,-0.010213680236293987,217851.20851219763,181407.38591933978,250308.04583819726,216993.78017253906
2025-12-03,293.79998779296875,106.51000213623048,2.75842626889808,2.91127529063447,2.7745502503430797,GOLD,GOLD,-0.0029186718877761697,0.008331013023708644,GOLD,0.008331013023708644,219666.12976754337,180877.91728182204,252393.36542801434,217581.00235387374
2025-12-04,294.3699951171875,105.91999816894533,2.779172962669988,2.91127529063447,2.75842626889808,,GOLD,0.0019401203128042166,-0.005539423110052288,GOLD,-0.005539423110052288,218449.3061318133,181228.8422032782,250995.25178673852,217189.4323986736
2025-12-05,296.010009765625,106.88999938964844,2.7692956446428,2.91127529063447,2.75842626889808,,GOLD,0.0055712697477356965,0.00915786666797258,GOLD,0.00915786666797258,220449.83575107958,182238.5169692625,253293.83283689566,218788.9387875988
2025-12-08,293.45001220703125,106.8499984741211,2.746373574147541,2.91127529063447,2.75842626889808,GOLD,GOLD,-0.00864834794141156,-0.0003742250515086365,GOLD,-0.0003742250515086365,220367.33789994055,180662.4548661855,253199.04393925547,217801.91920247147
2025-12-09,292.3500061035156,106.27999877929688,2.75075281766436,2.91127529063447,2.746373574147541,,GOLD,-0.003748529758927255,-0.005334578408648927,GOLD,-0.005334578408648927,219191.7710572081,179985.23627779874,251848.33378636657,216812.7600068606
2025-12-10,291.5599975585937,106.2300033569336,2.7446106405452135,2.91127529063447,2.746373574147541,GOLD,GOLD,-0.0027022696371766797,-0.00047041233475264566,GOLD,-0.00047041233475264566,219088.66054442647,179498.8676386652,251729.86122366655,216468.8210393816
2025-12-11,292.92999267578125,107.1500015258789,2.733830970641962,2.91127529063447,2.7446106405452135,GOLD,GOLD,0.004698844589996476,0.008660436222091672,GOLD,0.008660436222091672,220986.06391605496,180342.30492177964,253909.95163199012,217914.754923045
2025-12-12,294.69000244140625,109.61000061035156,2.6885320755447175,2.91127529063447,2.733830970641962,GOLD,GOLD,0.006008294847339224,0.022958460564076688,GOLD,0.022958460564076688,226059.56374968225,181425.85466319844,259739.33324335978,221070.8966262422
2025-12-15,294.5400085449219,110.9499969482422,2.654709478561985,2.91127529063447,2.6885320755447175,GOLD,GOLD,-0.0005089887517110148,0.012225128459346868,GOLD,0.012225128459346868,228823.17095598605,181333.5109439053,262914.679958205,222365.94538132483
2025-12-16,292.6600036621094,109.55999755859376,2.6712304690002564,2.91127529063447,2.654709478561985,,GOLD,-0.006382850642600468,-0.012528160683923817,GOLD,-0.012528160683923817,225956.43750204446,180176.086227052,259620.84260152615,220263.36292545506
2025-12-17,291.7099914550781,109.98999786376952,2.6521501692943192,2.91127529063447,2.654709478561985,GOLD,GOLD,-0.003246129280200849,0.003924792942294308,GOLD,0.003924792942294308,226843.26973321848,179591.21135795838,260639.80065224116,220338.1052957091
2025-12-18,291.8399963378906,109.87999725341795,2.655988383989631,2.91127529063447,2.6521501692943192,,GOLD,0.00044566482678232155,-0.0010000964859351313,GOLD,-0.0010000964859351313,226616.40457630027,179671.24884405988,260379.13570351404,220277.02408506224
2025-12-19,293.4494934082031,109.81999969482422,2.672095194169203,2.8854902678844976,2.6521501692943192,,GOLD,0.005514998254211312,-0.0005460280314292243,GOLD,-0.0005460280314292243,226492.6656670199,180662.13546776684,260236.96139662058,220824.2990717831
2025-12-22,295.69000244140625,111.38999938964844,2.6545471232750986,2.869020621753468,2.6521501692943192,,GOLD,0.007635075484988096,0.014296118186004847,GOLD,0.014296118186004847,229730.63158365892,182041.50450934237,263957.33975311345,223245.7693068854
2025-12-23,295.67999267578125,113.0999984741211,2.6143235779391905,2.8471809786759485,2.6521501692943192,GOLD,GOLD,-3.385222882867911e-05,0.01535145968078333,GOLD,0.01535145968078333,233257.33211185632,182035.3419986754,268009.4702117802,224955.56483666168
2025-12-24,295.5,113.20999908447266,2.610193466917264,2.8471809786759485,2.6143235779391905,GOLD,GOLD,-0.000608741478083763,0.0009725960374502574,GOLD,0.0009725960374502574,233484.19726877453,181924.52953552364,268270.13516050734,224996.49039062203
2025-12-26,294.4599914550781,114.30999755859376,2.5759775850239337,2.8471809786759485,2.610193466917264,GOLD,GOLD,-0.0035194874616645277,0.009716442743722187,GOLD,0.009716442743722187,235752.8331031005,181284.24843485415,270876.76656864496,225693.63698540733
2025-12-29,293.1499938964844,113.02999877929688,2.5935592060731683,2.8339703923785393,2.5759775850239337,,GOLD,-0.0044488134096600795,-0.011197610065915575,GOLD,-0.011197610065915575,233112.9648060771,180477.74863945702,267843.5941606933,223927.98787539903
